ensembl_gene_id	gene_biotype	hgnc_symbol	description	entrezgene_id
ENSAPLG00020000019	protein_coding	EFHC2	EF-hand domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26233]	NA
ENSAPLG00020000020	protein_coding		Anas platyrhynchos POU class 1 homeobox 1 (POU1F1), mRNA. [Source:RefSeq mRNA;Acc:NM_001310365]	101798745
ENSAPLG00020000021	protein_coding			NA
ENSAPLG00020000022	protein_coding	CHMP2B	charged multivesicular body protein 2B [Source:NCBI gene;Acc:101801259]	101801259
ENSAPLG00020000023	protein_coding	FUNDC1	FUN14 domain containing 1 [Source:NCBI gene;Acc:101792615]	101792615
ENSAPLG00020000024	protein_coding	OPN1SW	opsin 1, short wave sensitive [Source:HGNC Symbol;Acc:HGNC:1012]	NA
ENSAPLG00020000025	lncRNA			NA
ENSAPLG00020000026	protein_coding	VGLL3	vestigial like family member 3 [Source:HGNC Symbol;Acc:HGNC:24327]	NA
ENSAPLG00020000027	protein_coding			NA
ENSAPLG00020000028	protein_coding	CADM2	cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]	NA
ENSAPLG00020000029	protein_coding			NA
ENSAPLG00020000030	protein_coding			NA
ENSAPLG00020000031	protein_coding			NA
ENSAPLG00020000032	protein_coding	SND1	staphylococcal nuclease and tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30646]	NA
ENSAPLG00020000033	protein_coding	LRRC4	leucine rich repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:15586]	NA
ENSAPLG00020000034	protein_coding	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	NA
ENSAPLG00020000035	protein_coding	ARF5	ADP ribosylation factor 5 [Source:NCBI gene;Acc:106017617]	106017617
ENSAPLG00020000036	protein_coding		feather keratin 2-like [Source:NCBI gene;Acc:113841542]	113841542
ENSAPLG00020000037	protein_coding	GCC1	GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]	NA
ENSAPLG00020000038	protein_coding	ETV1	ETS variant transcription factor 1 [Source:NCBI gene;Acc:101796676]	101796676
ENSAPLG00020000039	protein_coding			NA
ENSAPLG00020000040	protein_coding	TMEM178B	transmembrane protein 178B [Source:NCBI gene;Acc:110353069]	110353069
ENSAPLG00020000041	protein_coding	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	NA
ENSAPLG00020000042	protein_coding			NA
ENSAPLG00020000043	protein_coding			NA
ENSAPLG00020000044	protein_coding	IRX1	iroquois homeobox 1 [Source:HGNC Symbol;Acc:HGNC:14358]	NA
ENSAPLG00020000045	protein_coding	C11orf87	chromosome 11 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33788]	NA
ENSAPLG00020000046	protein_coding			NA
ENSAPLG00020000047	protein_coding			NA
ENSAPLG00020000048	protein_coding	PTPRB	protein tyrosine phosphatase receptor type B [Source:HGNC Symbol;Acc:HGNC:9665]	NA
ENSAPLG00020000049	protein_coding			NA
ENSAPLG00020000050	protein_coding	FAM83A	family with sequence similarity 83 member A [Source:HGNC Symbol;Acc:HGNC:28210]	NA
ENSAPLG00020000051	protein_coding			NA
ENSAPLG00020000052	protein_coding			NA
ENSAPLG00020000053	protein_coding	ARL4A	ADP ribosylation factor like GTPase 4A [Source:NCBI gene;Acc:101796488]	101796488
ENSAPLG00020000054	protein_coding	PARP11	poly(ADP-ribose) polymerase family member 11 [Source:HGNC Symbol;Acc:HGNC:1186]	NA
ENSAPLG00020000055	protein_coding		interleukin 1 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:5999]	NA
ENSAPLG00020000056	protein_coding			NA
ENSAPLG00020000057	protein_coding			NA
ENSAPLG00020000058	protein_coding	CEP44	centrosomal protein 44 [Source:NCBI gene;Acc:101796193]	101796193
ENSAPLG00020000059	protein_coding			NA
ENSAPLG00020000060	protein_coding	AGK	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]	NA
ENSAPLG00020000061	protein_coding			NA
ENSAPLG00020000062	protein_coding		feather keratin 2-like [Source:NCBI gene;Acc:113842956]	113842956
ENSAPLG00020000063	processed_pseudogene			NA
ENSAPLG00020000064	protein_coding	IRX2	iroquois homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14359]	NA
ENSAPLG00020000065	protein_coding			NA
ENSAPLG00020000066	protein_coding			NA
ENSAPLG00020000067	protein_coding	DENND6B	DENN domain containing 6B [Source:NCBI gene;Acc:101802434]	101802434
ENSAPLG00020000068	protein_coding	CRACR2A	calcium release activated channel regulator 2A [Source:HGNC Symbol;Acc:HGNC:28657]	NA
ENSAPLG00020000069	protein_coding	PRKCQ	protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]	NA
ENSAPLG00020000070	protein_coding			NA
ENSAPLG00020000071	protein_coding	FBXO8	F-box protein 8 [Source:NCBI gene;Acc:101796395]	101796395
ENSAPLG00020000072	protein_coding	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	NA
ENSAPLG00020000073	protein_coding		interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	NA
ENSAPLG00020000074	protein_coding			NA
ENSAPLG00020000075	protein_coding	MYLK4	myosin light chain kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:27972]	NA
ENSAPLG00020000076	protein_coding	IRX4	iroquois homeobox 4 [Source:NCBI gene;Acc:113842802]	113842802
ENSAPLG00020000077	protein_coding			NA
ENSAPLG00020000078	protein_coding	DENND11	DENN domain containing 11 [Source:HGNC Symbol;Acc:HGNC:29472]	NA
ENSAPLG00020000079	protein_coding	SCIN	scinderin [Source:NCBI gene;Acc:101801633]	101801633
ENSAPLG00020000080	protein_coding			NA
ENSAPLG00020000081	protein_coding	PRMT8	protein arginine methyltransferase 8 [Source:NCBI gene;Acc:101797694]	101797694
ENSAPLG00020000082	protein_coding	HAND2	heart and neural crest derivatives expressed 2 [Source:HGNC Symbol;Acc:HGNC:4808]	NA
ENSAPLG00020000083	protein_coding	EPSTI1	epithelial stromal interaction 1 [Source:HGNC Symbol;Acc:HGNC:16465]	NA
ENSAPLG00020000084	protein_coding			NA
ENSAPLG00020000085	protein_coding	NDUFS6	NADH:ubiquinone oxidoreductase subunit S6 [Source:NCBI gene;Acc:101793437]	101793437
ENSAPLG00020000086	protein_coding			NA
ENSAPLG00020000087	protein_coding	IL1RL1	interleukin 1 receptor like 1 [Source:NCBI gene;Acc:101795572]	101795572
ENSAPLG00020000088	protein_coding	GBE1	1,4-alpha-glucan branching enzyme 1 [Source:HGNC Symbol;Acc:HGNC:4180]	NA
ENSAPLG00020000089	protein_coding			NA
ENSAPLG00020000090	protein_coding	SLC25A27	solute carrier family 25 member 27 [Source:HGNC Symbol;Acc:HGNC:21065]	NA
ENSAPLG00020000091	protein_coding		feather keratin 2-like [Source:NCBI gene;Acc:113841541]	113841541
ENSAPLG00020000092	protein_coding	GOLT1B	golgi transport 1B [Source:HGNC Symbol;Acc:HGNC:20175]	NA
ENSAPLG00020000093	protein_coding			NA
ENSAPLG00020000094	protein_coding	STAM	signal transducing adaptor molecule [Source:NCBI gene;Acc:101803037]	101803037
ENSAPLG00020000095	protein_coding	MRPL36	mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490]	NA
ENSAPLG00020000096	protein_coding	SCRG1	stimulator of chondrogenesis 1 [Source:HGNC Symbol;Acc:HGNC:17036]	NA
ENSAPLG00020000097	protein_coding			NA
ENSAPLG00020000098	protein_coding	PTPRR	protein tyrosine phosphatase receptor type R [Source:NCBI gene;Acc:101793417]	101793417
ENSAPLG00020000099	protein_coding	TPPP	tubulin polymerization promoting protein [Source:NCBI gene;Acc:101790238]	101790238
ENSAPLG00020000100	protein_coding			NA
ENSAPLG00020000101	protein_coding	WWC3	WWC family member 3 [Source:HGNC Symbol;Acc:HGNC:29237]	NA
ENSAPLG00020000102	protein_coding			NA
ENSAPLG00020000103	protein_coding			NA
ENSAPLG00020000104	protein_coding	RBM33	RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]	NA
ENSAPLG00020000105	protein_coding	DNAJC15	DnaJ heat shock protein family (Hsp40) member C15 [Source:NCBI gene;Acc:101801488]	101801488
ENSAPLG00020000106	protein_coding	SAP30	Sin3A associated protein 30 [Source:NCBI gene;Acc:101798700]	101798700
ENSAPLG00020000107	lncRNA			NA
ENSAPLG00020000108	protein_coding	CSF2RB	colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]	NA
ENSAPLG00020000109	lncRNA			NA
ENSAPLG00020000110	protein_coding		feather keratin 2-like [Source:NCBI gene;Acc:113842941]	113842941
ENSAPLG00020000111	protein_coding	ZFP36L1	ZFP36 ring finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:1107]	NA
ENSAPLG00020000112	protein_coding	PRR18	proline rich 18 [Source:NCBI gene;Acc:113843196]	113843196
ENSAPLG00020000113	protein_coding	NKX2-4	NK2 homeobox 4 [Source:HGNC Symbol;Acc:HGNC:7837]	NA
ENSAPLG00020000114	protein_coding			NA
ENSAPLG00020000115	protein_coding	WRNIP1	WRN helicase interacting protein 1 [Source:NCBI gene;Acc:101800124]	101800124
ENSAPLG00020000116	protein_coding	HMGB2	high mobility group box 2 [Source:NCBI gene;Acc:101798886]	101798886
ENSAPLG00020000117	protein_coding	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	NA
ENSAPLG00020000118	protein_coding	RECQL	RecQ like helicase [Source:NCBI gene;Acc:101799196]	101799196
ENSAPLG00020000119	protein_coding	CYP39A1	cytochrome P450 family 39 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:17449]	NA
ENSAPLG00020000120	protein_coding	LPCAT1	lysophosphatidylcholine acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:25718]	NA
ENSAPLG00020000121	protein_coding	TSTA3	tissue specific transplantation antigen P35B [Source:HGNC Symbol;Acc:HGNC:12390]	NA
ENSAPLG00020000122	protein_coding	TBC1D31	TBC1 domain family member 31 [Source:HGNC Symbol;Acc:HGNC:30888]	NA
ENSAPLG00020000123	protein_coding	SFT2D1	SFT2 domain containing 1 [Source:NCBI gene;Acc:101798192]	101798192
ENSAPLG00020000124	pseudogene			NA
ENSAPLG00020000125	protein_coding	ENOX1	ecto-NOX disulfide-thiol exchanger 1 [Source:NCBI gene;Acc:101801040]	101801040
ENSAPLG00020000126	protein_coding	WEE2	WEE2 oocyte meiosis inhibiting kinase [Source:NCBI gene;Acc:101801524]	101801524
ENSAPLG00020000127	protein_coding			NA
ENSAPLG00020000128	protein_coding	SERPINB1	serpin family B member 1 [Source:NCBI gene;Acc:101799613]	101799613
ENSAPLG00020000129	protein_coding	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	NA
ENSAPLG00020000130	protein_coding	PYCR3	pyrroline-5-carboxylate reductase 3 [Source:HGNC Symbol;Acc:HGNC:25846]	NA
ENSAPLG00020000131	protein_coding		macrophage mannose receptor 1 [Source:NCBI gene;Acc:101801190]	101801190
ENSAPLG00020000132	protein_coding	XRN2	5'-3' exoribonuclease 2 [Source:NCBI gene;Acc:101794687]	101794687
ENSAPLG00020000133	protein_coding	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7 [Source:NCBI gene;Acc:101797015]	101797015
ENSAPLG00020000134	protein_coding			NA
ENSAPLG00020000135	protein_coding	MPC1	mitochondrial pyruvate carrier 1 [Source:HGNC Symbol;Acc:HGNC:21606]	NA
ENSAPLG00020000136	protein_coding	PYROXD1	pyridine nucleotide-disulphide oxidoreductase domain 1 [Source:HGNC Symbol;Acc:HGNC:26162]	NA
ENSAPLG00020000137	protein_coding	TIGD5	tigger transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:18336]	NA
ENSAPLG00020000138	protein_coding	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	NA
ENSAPLG00020000139	protein_coding	RCAN2	regulator of calcineurin 2 [Source:HGNC Symbol;Acc:HGNC:3041]	NA
ENSAPLG00020000140	protein_coding			NA
ENSAPLG00020000141	protein_coding	CNPY1	canopy FGF signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:27786]	NA
ENSAPLG00020000142	protein_coding	SLC9A4	solute carrier family 9 member A4 [Source:HGNC Symbol;Acc:HGNC:11077]	NA
ENSAPLG00020000143	protein_coding	GRM5	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]	NA
ENSAPLG00020000144	protein_coding		Anas platyrhynchos trypsin I-P1 (LOC101792988), mRNA. [Source:RefSeq mRNA;Acc:NM_001319966]	101792988
ENSAPLG00020000145	protein_coding	OTOF	otoferlin [Source:HGNC Symbol;Acc:HGNC:8515]	NA
ENSAPLG00020000146	protein_coding	DIPK2B	divergent protein kinase domain 2B [Source:HGNC Symbol;Acc:HGNC:25866]	NA
ENSAPLG00020000147	protein_coding	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	NA
ENSAPLG00020000148	protein_coding			NA
ENSAPLG00020000149	protein_coding			NA
ENSAPLG00020000150	protein_coding	CLPTM1L	CLPTM1 like [Source:NCBI gene;Acc:101791962]	101791962
ENSAPLG00020000151	protein_coding	TSPAN8	tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855]	NA
ENSAPLG00020000152	miRNA		microRNA 221 [Source:HGNC Symbol;Acc:HGNC:31601]	NA
ENSAPLG00020000153	protein_coding			NA
ENSAPLG00020000154	protein_coding	IAPP	islet amyloid polypeptide [Source:NCBI gene;Acc:101799614]	101799614
ENSAPLG00020000155	protein_coding	EN2	homeobox protein engrailed-2-like [Source:NCBI gene;Acc:113842625]	113842625
ENSAPLG00020000156	protein_coding		von Willebrand factor D and EGF domain-containing protein [Source:NCBI gene;Acc:101801254]	101801254
ENSAPLG00020000157	miRNA		microRNA 222 [Source:HGNC Symbol;Acc:HGNC:31602]	NA
ENSAPLG00020000158	protein_coding	FNBP4	formin binding protein 4 [Source:HGNC Symbol;Acc:HGNC:19752]	NA
ENSAPLG00020000159	protein_coding	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5 [Source:HGNC Symbol;Acc:HGNC:13717]	NA
ENSAPLG00020000160	protein_coding	SLC9A2	solute carrier family 9 member A2 [Source:NCBI gene;Acc:101799841]	101799841
ENSAPLG00020000161	protein_coding	CCDC122	coiled-coil domain containing 122 [Source:HGNC Symbol;Acc:HGNC:26478]	NA
ENSAPLG00020000162	protein_coding			NA
ENSAPLG00020000163	protein_coding	GALNTL6	polypeptide N-acetylgalactosaminyltransferase like 6 [Source:NCBI gene;Acc:101799078]	101799078
ENSAPLG00020000164	protein_coding	EEF1D	eukaryotic translation elongation factor 1 delta [Source:HGNC Symbol;Acc:HGNC:3211]	NA
ENSAPLG00020000165	protein_coding	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:NCBI gene;Acc:101800680]	101800680
ENSAPLG00020000166	protein_coding			NA
ENSAPLG00020000167	protein_coding			NA
ENSAPLG00020000168	protein_coding	ROBO1	roundabout guidance receptor 1 [Source:HGNC Symbol;Acc:HGNC:10249]	NA
ENSAPLG00020000169	protein_coding	INSIG1	insulin induced gene 1 [Source:HGNC Symbol;Acc:HGNC:6083]	NA
ENSAPLG00020000170	protein_coding			NA
ENSAPLG00020000171	protein_coding			NA
ENSAPLG00020000172	lncRNA			NA
ENSAPLG00020000173	protein_coding			NA
ENSAPLG00020000174	protein_coding	MFSD9	major facilitator superfamily domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28158]	NA
ENSAPLG00020000175	protein_coding	CEP290	centrosomal protein 290 [Source:HGNC Symbol;Acc:HGNC:29021]	NA
ENSAPLG00020000176	protein_coding	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	NA
ENSAPLG00020000177	protein_coding	GABRA2	gamma-aminobutyric acid type A receptor subunit alpha2 [Source:NCBI gene;Acc:101796294]	101796294
ENSAPLG00020000178	protein_coding			NA
ENSAPLG00020000179	protein_coding	KIZ	kizuna centrosomal protein [Source:HGNC Symbol;Acc:HGNC:15865]	NA
ENSAPLG00020000180	protein_coding			NA
ENSAPLG00020000181	protein_coding			NA
ENSAPLG00020000182	protein_coding	HTR5A	5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300]	NA
ENSAPLG00020000183	protein_coding			NA
ENSAPLG00020000184	protein_coding	TMEM106B	transmembrane protein 106B [Source:NCBI gene;Acc:101796289]	101796289
ENSAPLG00020000185	protein_coding	LGR5	leucine rich repeat containing G protein-coupled receptor 5 [Source:HGNC Symbol;Acc:HGNC:4504]	NA
ENSAPLG00020000186	protein_coding	RAD51B	RAD51 paralog B [Source:HGNC Symbol;Acc:HGNC:9822]	NA
ENSAPLG00020000187	protein_coding	TMEM182	transmembrane protein 182 [Source:NCBI gene;Acc:101796978]	101796978
ENSAPLG00020000188	protein_coding			NA
ENSAPLG00020000189	protein_coding	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]	NA
ENSAPLG00020000190	protein_coding			NA
ENSAPLG00020000191	protein_coding	TYR	tyrosinase [Source:NCBI gene;Acc:101791683]	101791683
ENSAPLG00020000192	protein_coding	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	NA
ENSAPLG00020000193	protein_coding	CLDN34	claudin 34 [Source:HGNC Symbol;Acc:HGNC:51259]	NA
ENSAPLG00020000194	protein_coding			NA
ENSAPLG00020000195	protein_coding	GPALPP1	GPALPP motifs containing 1 [Source:HGNC Symbol;Acc:HGNC:20298]	NA
ENSAPLG00020000196	protein_coding	PAXIP1	PAX interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8624]	NA
ENSAPLG00020000197	protein_coding	POU3F3	POU class 3 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9216]	NA
ENSAPLG00020000198	protein_coding	CEP43	FGFR1 oncogene partner [Source:NCBI gene;Acc:101797840]	101797840
ENSAPLG00020000199	protein_coding	CLIC5	chloride intracellular channel 5 [Source:NCBI gene;Acc:101790561]	101790561
ENSAPLG00020000200	protein_coding	SSBP1	single stranded DNA binding protein 1 [Source:NCBI gene;Acc:101801333]	101801333
ENSAPLG00020000201	protein_coding			NA
ENSAPLG00020000202	protein_coding	GABRG1	gamma-aminobutyric acid type A receptor subunit gamma1 [Source:NCBI gene;Acc:101796491]	101796491
ENSAPLG00020000203	protein_coding	SLCO1A2	solute carrier organic anion transporter family member 1A2 [Source:NCBI gene;Acc:101802312]	101802312
ENSAPLG00020000204	protein_coding			NA
ENSAPLG00020000205	protein_coding	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	NA
ENSAPLG00020000206	protein_coding			NA
ENSAPLG00020000207	protein_coding	ZNF827	zinc finger protein 827 [Source:HGNC Symbol;Acc:HGNC:27193]	NA
ENSAPLG00020000208	protein_coding	DDX10	DEAD-box helicase 10 [Source:HGNC Symbol;Acc:HGNC:2735]	NA
ENSAPLG00020000209	protein_coding	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	NA
ENSAPLG00020000210	protein_coding			NA
ENSAPLG00020000211	protein_coding			NA
ENSAPLG00020000212	protein_coding			NA
ENSAPLG00020000213	protein_coding			NA
ENSAPLG00020000214	protein_coding	NAPRT	nicotinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30450]	NA
ENSAPLG00020000215	protein_coding	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	NA
ENSAPLG00020000216	protein_coding	CCR6	C-C motif chemokine receptor 6 [Source:NCBI gene;Acc:101797063]	101797063
ENSAPLG00020000217	protein_coding	FOXA1	forkhead box A1 [Source:NCBI gene;Acc:101796043]	101796043
ENSAPLG00020000218	protein_coding	RUNX2	RUNX family transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10472]	NA
ENSAPLG00020000219	protein_coding	MRPS9	mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]	NA
ENSAPLG00020000220	protein_coding	GNPDA2	glucosamine-6-phosphate deaminase 2 [Source:NCBI gene;Acc:101800556]	101800556
ENSAPLG00020000221	protein_coding	MFAP3L	microfibril associated protein 3 like [Source:HGNC Symbol;Acc:HGNC:29083]	NA
ENSAPLG00020000222	protein_coding	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	NA
ENSAPLG00020000223	protein_coding			NA
ENSAPLG00020000224	protein_coding	RALGAPA2	Ral GTPase activating protein catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:16207]	NA
ENSAPLG00020000225	protein_coding	MTCH2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]	NA
ENSAPLG00020000226	protein_coding	HPF1	histone PARylation factor 1 [Source:HGNC Symbol;Acc:HGNC:26051]	NA
ENSAPLG00020000227	protein_coding	PPP6R2	protein phosphatase 6 regulatory subunit 2 [Source:NCBI gene;Acc:101799955]	101799955
ENSAPLG00020000228	protein_coding			NA
ENSAPLG00020000229	protein_coding	DPP6	dipeptidyl peptidase like 6 [Source:HGNC Symbol;Acc:HGNC:3010]	NA
ENSAPLG00020000230	protein_coding			NA
ENSAPLG00020000231	protein_coding	GPR143	G protein-coupled receptor 143 [Source:HGNC Symbol;Acc:HGNC:20145]	NA
ENSAPLG00020000232	protein_coding	GTF2F2	general transcription factor IIF subunit 2 [Source:NCBI gene;Acc:101801231]	101801231
ENSAPLG00020000233	protein_coding		glutamine amidotransferase like class 1 domain containing 3A [Source:NCBI gene;Acc:101802730]	101802730
ENSAPLG00020000234	protein_coding		macrophage mannose receptor 1 [Source:NCBI gene;Acc:101801378]	101801378
ENSAPLG00020000235	protein_coding			NA
ENSAPLG00020000236	protein_coding		chaperonin containing TCP1 subunit 7 [Source:NCBI gene;Acc:101793908]	101793908
ENSAPLG00020000237	protein_coding			NA
ENSAPLG00020000238	protein_coding	GUF1	GUF1 homolog, GTPase [Source:NCBI gene;Acc:101801125]	101801125
ENSAPLG00020000239	protein_coding	TERT	telomerase reverse transcriptase [Source:HGNC Symbol;Acc:HGNC:11730]	NA
ENSAPLG00020000240	protein_coding	TTLL2	tubulin tyrosine ligase like 2 [Source:HGNC Symbol;Acc:HGNC:21211]	NA
ENSAPLG00020000241	protein_coding	MIPOL1	mirror-image polydactyly 1 [Source:NCBI gene;Acc:101792184]	101792184
ENSAPLG00020000242	protein_coding		transducin beta like 1 X-linked [Source:NCBI gene;Acc:101794927]	101794927
ENSAPLG00020000243	protein_coding		unc-93 homolog A [Source:NCBI gene;Acc:101799578]	101799578
ENSAPLG00020000244	protein_coding	TGFBRAP1	transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836]	NA
ENSAPLG00020000245	protein_coding	PLEKHH1	pleckstrin homology, MyTH4 and FERM domain containing H1 [Source:HGNC Symbol;Acc:HGNC:17733]	NA
ENSAPLG00020000246	protein_coding	NOX4	NADPH oxidase 4 [Source:HGNC Symbol;Acc:HGNC:7891]	NA
ENSAPLG00020000247	protein_coding	KCTD4	potassium channel tetramerization domain containing 4 [Source:NCBI gene;Acc:101801037]	101801037
ENSAPLG00020000248	protein_coding			NA
ENSAPLG00020000249	protein_coding	SUPT3H	SPT3 homolog, SAGA and STAGA complex component [Source:HGNC Symbol;Acc:HGNC:11466]	NA
ENSAPLG00020000250	protein_coding			NA
ENSAPLG00020000251	protein_coding	YIPF7	Yip1 domain family member 7 [Source:NCBI gene;Acc:101800361]	101800361
ENSAPLG00020000252	protein_coding	PRADC1	protease associated domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16047]	NA
ENSAPLG00020000253	snoRNA			NA
ENSAPLG00020000254	protein_coding			NA
ENSAPLG00020000255	protein_coding			NA
ENSAPLG00020000256	protein_coding	C2orf49	chromosome 2 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28772]	NA
ENSAPLG00020000257	protein_coding	KCTD8	potassium channel tetramerization domain containing 8 [Source:NCBI gene;Acc:101802420]	101802420
ENSAPLG00020000258	protein_coding			NA
ENSAPLG00020000259	protein_coding	PHF14	PHD finger protein 14 [Source:NCBI gene;Acc:101791041]	101791041
ENSAPLG00020000260	protein_coding	TPT1	tumor protein, translationally-controlled 1 [Source:NCBI gene;Acc:101801417]	101801417
ENSAPLG00020000261	protein_coding			NA
ENSAPLG00020000262	protein_coding	SMYD5	SMYD family member 5 [Source:NCBI gene;Acc:101794813]	101794813
ENSAPLG00020000263	protein_coding	GRXCR1	glutaredoxin and cysteine rich domain containing 1 [Source:NCBI gene;Acc:101802237]	101802237
ENSAPLG00020000264	protein_coding	ANOS1	anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]	NA
ENSAPLG00020000265	protein_coding			NA
ENSAPLG00020000266	protein_coding			NA
ENSAPLG00020000267	protein_coding	SLC25A21	solute carrier family 25 member 21 [Source:NCBI gene;Acc:101795620]	101795620
ENSAPLG00020000268	protein_coding	DERL1	derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]	NA
